region,pohlavie,typ_skupiny,skupina,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Trnavský kraj,Ženy,vek,45-54,0.9,0.6,0.9,1.1,1.5,1.4,1.1,1.4,2.8,3.2,4.0,5.0,4.8,3.1,3.3,4.3,4.1,3.6,3.3,4.0,4.2
Trnavský kraj,Muži,vek,55+,0.2,0.9,0.3,0.6,0.7,0.8,0.5,0.9,1.2,2.1,1.3,1.1,0.7,1.3,1.3,1.5,0.8,0.5,0.8,1.5,2.1
Trnavský kraj,Ženy,vek,55+,1.5,1.1,0.3,0.9,1.5,1.3,0.3,0.9,1.1,2.5,3.0,1.6,1.2,1.8,2.1,1.8,1.2,1.0,1.2,1.2,1.1
Trnavský kraj,Muži,vzdelanie,Základné a bez vzdelania,0.3,,0.3,0.8,0.6,0.5,1.7,2.1,0.8,0.9,3.8,4.5,2.8,3.5,1.9,1.6,1.0,1.3,2.2,2.4,2.5
Trnavský kraj,Ženy,vzdelanie,Základné a bez vzdelania,0.4,0.5,0.5,1.5,2.1,0.8,0.7,1.2,2.1,1.7,2.9,3.0,3.5,3.0,3.5,3.5,3.0,2.1,2.2,3.0,3.4
Trnavský kraj,Muži,vzdelanie,Nižšie stredné,1.8,2.8,3.8,3.0,3.8,3.4,3.9,2.4,3.4,6.3,5.9,8.0,9.7,9.3,8.3,9.2,6.3,3.8,3.1,5.5,6.8
Trnavský kraj,Ženy,vzdelanie,Nižšie stredné,0.6,1.3,1.3,2.0,1.8,1.7,2.0,2.5,2.8,4.8,7.3,6.8,5.2,6.0,5.9,8.5,5.7,4.2,5.0,5.4,5.4
Trnavský kraj,Muži,vzdelanie,Úplné stredné,2.0,3.1,1.2,2.1,2.6,2.0,1.7,2.1,2.5,3.0,3.1,4.4,5.5,4.0,5.0,7.3,5.4,1.7,1.6,2.7,3.8
Trnavský kraj,Ženy,vzdelanie,Úplné stredné,2.7,2.2,3.4,1.9,3.7,3.2,2.3,2.7,3.7,6.3,8.0,7.7,7.0,4.5,4.5,5.3,4.6,3.8,3.9,5.6,6.8
Trnavský kraj,Muži,vzdelanie,Vysokoškolské,0.4,,0.5,1.5,1.1,1.6,0.3,0.8,1.0,1.3,1.5,1.5,0.8,0.9,1.0,0.5,0.8,0.8,0.4,0.2,0.4
Trnavský kraj,Ženy,vzdelanie,Vysokoškolské,1.4,1.0,0.6,0.2,2.2,1.0,0.7,0.9,1.4,1.6,0.9,1.0,2.2,2.4,1.0,0.8,0.6,0.6,0.5,0.7,1.1
Trenčiansky kraj,Muži,vek,15-24,0.2,0.5,1.5,1.0,1.2,1.0,0.5,0.2,0.4,0.9,1.0,2.6,2.7,2.8,3.9,4.5,3.3,2.2,2.4,3.0,2.7
Trenčiansky kraj,Ženy,vek,15-24,0.4,1.2,0.3,0.8,0.5,0.2,0.7,0.4,0.8,1.8,1.8,1.8,2.4,1.9,2.3,3.1,1.2,1.2,1.5,2.8,2.3
Trenčiansky kraj,Muži,vek,25-34,0.8,1.1,2.0,2.1,2.2,1.1,1.0,1.3,2.3,3.8,3.4,4.3,5.0,5.4,3.8,5.4,4.5,1.2,1.7,3.1,2.9
Trenčiansky kraj,Ženy,vek,25-34,0.4,0.9,0.9,1.6,1.5,2.7,0.9,0.7,1.9,1.9,3.9,2.8,3.3,4.7,4.2,3.6,3.1,1.4,1.9,1.7,2.6
Trenčiansky kraj,Muži,vek,35-44,1.2,0.5,1.3,0.8,0.8,2.2,2.0,1.5,1.3,2.2,2.4,2.8,1.5,1.6,1.4,3.3,2.1,1.0,1.5,2.1,2.2
Trenčiansky kraj,Ženy,vek,35-44,1.4,0.8,1.0,0.8,1.4,2.7,0.9,0.7,1.9,1.9,3.9,2.8,3.3,4.7,4.2,3.6,3.1,1.4,1.9,1.7,2.6
Trenčiansky kraj,Muži,vek,45-54,1.5,0.4,0.6,0.7,0.6,0.5,0.5,1.2,1.8,1.2,1.7,2.4,2.9,2.1,3.1,3.7,2.0,1.7,2.3,2.5,3.2
Trenčiansky kraj,Ženy,vek,45-54,1.0,2.4,0.6,1.0,1.6,0.9,0.6,1.6,1.5,1.1,1.4,2.8,3.7,2.4,2.1,2.5,2.1,2.9,2.9,2.6,3.5
