Pohlavie,Odvetvie,Rok,Hodnota
Muži,L Činnosti v oblasti nehnuteľností,2022,-
Muži,L Činnosti v oblasti nehnuteľností,2023,-
Muži,L Činnosti v oblasti nehnuteľností,2024,-
Muži,L Činnosti v oblasti nehnuteľností,2025,"0,3"
Muži,"M Odborné, vedecké a technické činnosti",2008,"0,5"
Muži,"M Odborné, vedecké a technické činnosti",2009,"0,7"
Muži,"M Odborné, vedecké a technické činnosti",2010,"1,2"
Muži,"M Odborné, vedecké a technické činnosti",2011,"0,7"
Muži,"M Odborné, vedecké a technické činnosti",2012,"0,9"
Muži,"M Odborné, vedecké a technické činnosti",2013,"1,4"
Muži,"M Odborné, vedecké a technické činnosti",2014,"0,6"
Muži,"M Odborné, vedecké a technické činnosti",2015,"1,0"
Muži,"M Odborné, vedecké a technické činnosti",2016,"0,6"
Muži,"M Odborné, vedecké a technické činnosti",2017,"0,8"
Muži,"M Odborné, vedecké a technické činnosti",2018,"0,6"
Muži,"M Odborné, vedecké a technické činnosti",2019,"0,3"
Muži,"M Odborné, vedecké a technické činnosti",2020,"0,9"
Muži,"M Odborné, vedecké a technické činnosti",2021,"0,5"
Muži,"M Odborné, vedecké a technické činnosti",2022,"0,4"
Muži,"M Odborné, vedecké a technické činnosti",2023,"0,6"
Muži,"M Odborné, vedecké a technické činnosti",2024,"0,3"
Muži,"M Odborné, vedecké a technické činnosti",2025,"0,4"
Muži,N Administratívne a podporné služby,2008,"1,4"
Muži,N Administratívne a podporné služby,2009,"3,0"
Muži,N Administratívne a podporné služby,2010,"3,5"
Muži,N Administratívne a podporné služby,2011,"3,1"
Muži,N Administratívne a podporné služby,2012,"4,6"
Muži,N Administratívne a podporné služby,2013,"4,0"
Muži,N Administratívne a podporné služby,2014,"3,2"
Muži,N Administratívne a podporné služby,2015,"4,8"
Muži,N Administratívne a podporné služby,2016,"3,5"
Muži,N Administratívne a podporné služby,2017,"3,6"
Muži,N Administratívne a podporné služby,2018,"2,0"
Muži,N Administratívne a podporné služby,2019,"1,7"
Muži,N Administratívne a podporné služby,2020,"1,3"
Muži,N Administratívne a podporné služby,2021,"2,5"
Muži,N Administratívne a podporné služby,2022,"1,8"
Muži,N Administratívne a podporné služby,2023,"1,1"
Muži,N Administratívne a podporné služby,2024,"1,2"
Muži,N Administratívne a podporné služby,2025,"0,9"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2008,"32,4"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2009,"34,2"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2010,"46,0"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2011,"47,3"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2012,"51,6"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2013,"50,9"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2014,"48,1"
